split,task,seed,spawn_index,target_index,route,teacher,success,truncated,decisions,total_reward,event_types,protocol_inconsistent,scenario_hash
test,navigation,137249792,1,2,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,851086780,1,0,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1583896710,1,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,80378908,0,2,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1292940014,1,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,315312209,0,2,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1932140857,0,1,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1329344981,0,0,flank,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1428168010,0,2,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1656822583,0,2,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1316475281,0,1,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,58843074,2,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,676874968,2,2,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1171160298,2,0,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1371271074,2,0,flank,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,938038920,2,0,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1771286812,2,2,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1797011687,0,1,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1505367939,0,2,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,918059690,2,0,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1506228004,0,1,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,406756597,1,1,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1649762864,2,1,flank,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1033863499,2,1,flank,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1458360373,1,0,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1309144025,2,0,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1947737165,0,1,flank,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,280710089,1,2,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,262501449,0,2,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,6964692,2,2,flank,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1992817845,0,0,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1395413681,0,1,flank,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,246138335,1,2,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,560114263,2,0,flank,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,760086027,1,1,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1046282257,2,1,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,643894501,0,2,flank,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1771165309,2,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1614653114,0,1,flank,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1160155490,1,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1310350515,0,2,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,977337610,1,2,flank,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1306419110,2,1,direct_upper,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1383612640,2,1,direct_lower,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,494779853,2,1,direct_upper,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1312430826,1,0,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,490695329,0,1,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1010412267,1,0,flank,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,769361512,2,0,direct_lower,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,2098124023,0,1,flank,fixed_route,True,False,22,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,1666812639,1,0,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,159805563,0,0,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,2059783792,1,1,direct_upper,fixed_route,True,False,37,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
test,navigation,2138917404,2,2,direct_lower,fixed_route,True,False,27,0.01,region_transition|task_success|region_transition,False,b6206daf98e4c6f4f492a7bda619663efe4e43dccb7b69117e422984126a6037
