policy,split,opponent,pair_index,seed,learner_side,outcome,objective_completed,learner_score,opponent_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,scenario_hash,action_tic_inconsistent,score_event_inconsistent,environment_attempts,score_difference
ppo,test,random_legal,500,614977377,host,win,True,3,0,150,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,500,614977377,opponent,win,True,2,0,172,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,501,2041977534,host,win,True,3,0,159,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,501,2041977534,opponent,win,True,3,0,247,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,502,3954155,host,win,True,2,0,107,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,502,3954155,opponent,draw,True,1,1,516,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,0
ppo,test,random_legal,503,799759452,host,win,True,2,0,224,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,503,799759452,opponent,win,True,2,0,164,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,504,1013388422,host,win,True,3,0,222,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,504,1013388422,opponent,win,True,2,0,210,False,True,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,2
ppo,test,random_legal,505,1344450625,host,win,True,3,0,184,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,505,1344450625,opponent,win,True,3,0,212,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
ppo,test,random_legal,506,221482642,host,win,True,3,0,212,True,False,0,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,False,False,1,3
