left_policy,right_policy,split,pair_index,seed,left_side,outcome,left_objective_completed,right_objective_completed,left_score,right_score,decisions,terminated,truncated,peer_tic_lag_max,protocol_inconsistent,action_tic_inconsistent,score_event_inconsistent,scenario_hash,environment_attempts,score_difference
m2-anchor,m2-anchor,validation,250,1019181764,host,win,True,True,2,1,191,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,m2-anchor,validation,250,1019181764,opponent,loss,True,True,1,2,191,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-1
m2-anchor,m2-anchor,validation,251,245721494,host,draw,True,True,2,2,381,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,m2-anchor,validation,251,245721494,opponent,draw,True,True,2,2,258,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,m2-anchor,validation,252,1891682600,host,win,True,True,3,2,312,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,1
m2-anchor,m2-anchor,validation,252,1891682600,opponent,draw,True,True,2,2,192,False,True,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,0
m2-anchor,m2-anchor,validation,253,1200430541,host,loss,True,True,1,3,269,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
m2-anchor,m2-anchor,validation,253,1200430541,opponent,win,True,True,3,1,269,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,m2-anchor,validation,254,1349791374,host,win,True,True,3,1,149,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,2
m2-anchor,m2-anchor,validation,254,1349791374,opponent,loss,True,True,1,3,149,True,False,0,False,False,False,91569d20cd52844cfa31284fe8df2886b3d8f2860bacfb6070c5d828511a7cb8,1,-2
