respondent_id,assignment_id,clip_id,style_choice,style_clarity,perceived_difficulty
synthetic-r01,assignment-001,clip-56724,defensive,4,5
synthetic-r01,assignment-001,clip-48656,aggressive,4,4
synthetic-r01,assignment-001,clip-20720,explorer,5,4
synthetic-r01,assignment-001,clip-81116,explorer,4,3
synthetic-r01,assignment-001,clip-94450,defensive,5,4
synthetic-r01,assignment-001,clip-91441,aggressive,5,5
synthetic-r02,assignment-002,clip-48656,aggressive,4,4
synthetic-r02,assignment-002,clip-20720,explorer,4,3
synthetic-r02,assignment-002,clip-81116,explorer,4,3
synthetic-r02,assignment-002,clip-94450,defensive,4,4
synthetic-r02,assignment-002,clip-91441,aggressive,5,4
synthetic-r02,assignment-002,clip-56724,defensive,4,4
synthetic-r03,assignment-003,clip-20720,explorer,4,4
synthetic-r03,assignment-003,clip-81116,explorer,5,4
synthetic-r03,assignment-003,clip-94450,defensive,4,3
synthetic-r03,assignment-003,clip-91441,aggressive,5,5
synthetic-r03,assignment-003,clip-56724,aggressive,3,5
synthetic-r03,assignment-003,clip-48656,aggressive,5,4
synthetic-r04,assignment-004,clip-81116,explorer,4,3
synthetic-r04,assignment-004,clip-94450,defensive,5,4
synthetic-r04,assignment-004,clip-91441,aggressive,4,4
synthetic-r04,assignment-004,clip-56724,defensive,4,4
synthetic-r04,assignment-004,clip-48656,aggressive,4,3
synthetic-r04,assignment-004,clip-20720,explorer,5,3
synthetic-r05,assignment-005,clip-94450,defensive,4,4
synthetic-r05,assignment-005,clip-91441,aggressive,5,4
synthetic-r05,assignment-005,clip-56724,explorer,3,4
synthetic-r05,assignment-005,clip-48656,aggressive,4,4
synthetic-r05,assignment-005,clip-20720,explorer,4,3
synthetic-r05,assignment-005,clip-81116,explorer,4,3
synthetic-r06,assignment-006,clip-91441,aggressive,5,5
synthetic-r06,assignment-006,clip-56724,defensive,4,5
synthetic-r06,assignment-006,clip-48656,aggressive,3,4
synthetic-r06,assignment-006,clip-20720,explorer,4,4
synthetic-r06,assignment-006,clip-81116,explorer,3,3
synthetic-r06,assignment-006,clip-94450,defensive,4,3
synthetic-r07,assignment-007,clip-91441,aggressive,4,4
synthetic-r07,assignment-007,clip-94450,defensive,5,4
synthetic-r07,assignment-007,clip-81116,explorer,4,3
synthetic-r07,assignment-007,clip-20720,explorer,5,3
synthetic-r07,assignment-007,clip-48656,aggressive,4,3
synthetic-r07,assignment-007,clip-56724,defensive,3,4
synthetic-r08,assignment-008,clip-94450,defensive,4,3
synthetic-r08,assignment-008,clip-81116,explorer,4,4
synthetic-r08,assignment-008,clip-20720,explorer,4,4
synthetic-r08,assignment-008,clip-48656,aggressive,5,4
synthetic-r08,assignment-008,clip-56724,unsure,3,4
synthetic-r08,assignment-008,clip-91441,aggressive,5,5
synthetic-r09,assignment-009,clip-81116,defensive,3,3
synthetic-r09,assignment-009,clip-20720,explorer,4,3
synthetic-r09,assignment-009,clip-48656,defensive,3,4
synthetic-r09,assignment-009,clip-56724,defensive,4,5
synthetic-r09,assignment-009,clip-91441,aggressive,5,4
synthetic-r09,assignment-009,clip-94450,defensive,4,4
synthetic-r10,assignment-010,clip-20720,defensive,4,3
synthetic-r10,assignment-010,clip-48656,unsure,3,3
synthetic-r10,assignment-010,clip-56724,defensive,4,4
synthetic-r10,assignment-010,clip-91441,aggressive,5,4
synthetic-r10,assignment-010,clip-94450,explorer,4,4
synthetic-r10,assignment-010,clip-81116,unsure,3,2
